,Student,Milestone,Time
0,xen,M0,0
1,xen,M1,0
2,xen,M2,105
3,xen,M3,0
4,xen,M4,120
5,xen,M5,542
6,xen,M6,0
7,xen,M7,81
8,xen,M8,191
9,xen,M9,0
10,xen,M10,0
11,xen,M11,3150
12,xen,M12,0
13,xen,M13,0
14,xen,M14,0
15,xen,M15,0
16,xen,M16,0
17,dea,M0,0
18,dea,M1,205
19,dea,M2,2
20,dea,M3,189
21,dea,M4,15
22,dea,M5,552
23,dea,M6,0
24,dea,M7,86
25,dea,M8,203
26,dea,M9,575
27,dea,M10,0
28,dea,M11,0
29,dea,M12,0
30,dea,M13,627
31,dea,M14,0
32,dea,M15,0
33,dea,M16,47
34,ada,M0,0
35,ada,M1,0
36,ada,M2,80
37,ada,M3,112
38,ada,M4,59
39,ada,M5,47
40,ada,M6,0
41,ada,M7,218
42,ada,M8,66
43,ada,M9,0
44,ada,M10,0
45,ada,M11,176
46,ada,M12,0
47,ada,M13,438
48,ada,M14,0
49,ada,M15,0
50,ada,M16,0
51,mit,M0,0
52,mit,M1,0
53,mit,M2,72
54,mit,M3,347
55,mit,M4,855
56,mit,M5,820
57,mit,M6,0
58,mit,M7,73
59,mit,M8,549
60,mit,M9,0
61,mit,M10,42
62,mit,M11,179
63,mit,M12,19
64,mit,M13,862
65,mit,M14,0
66,mit,M15,29
67,mit,M16,10
68,has,M0,0
69,has,M1,0
70,has,M2,0
71,has,M3,255
72,has,M4,64
73,has,M5,389
74,has,M6,0
75,has,M7,0
76,has,M8,55
77,has,M9,0
78,has,M10,0
79,has,M11,380
80,has,M12,0
81,has,M13,0
82,has,M14,0
83,has,M15,0
84,has,M16,0
85,mor,M0,0
86,mor,M1,0
87,mor,M2,37
88,mor,M3,74
89,mor,M4,40
90,mor,M5,106
91,mor,M6,0
92,mor,M7,48
93,mor,M8,158
94,mor,M9,214
95,mor,M10,19
96,mor,M11,128
97,mor,M12,56
98,mor,M13,367
99,mor,M14,0
100,mor,M15,578
101,mor,M16,0
102,pat,M0,0
103,pat,M1,442
104,pat,M2,123
105,pat,M3,389
106,pat,M4,1246
107,pat,M5,112
108,pat,M6,0
109,pat,M7,0
110,pat,M8,0
111,pat,M9,258
112,pat,M10,85
113,pat,M11,345
114,pat,M12,23
115,pat,M13,1392
116,pat,M14,0
117,pat,M15,60
118,pat,M16,13
119,tai,M0,0
120,tai,M1,332
121,tai,M2,32
122,tai,M3,23
123,tai,M4,154
124,tai,M5,744
125,tai,M6,0
126,tai,M7,60
127,tai,M8,89
128,tai,M9,0
129,tai,M10,73
130,tai,M11,139
131,tai,M12,21
132,tai,M13,699
133,tai,M14,0
134,tai,M15,29
135,tai,M16,5
136,kov,M0,0
137,kov,M1,108
138,kov,M2,331
139,kov,M3,634
140,kov,M4,138
141,kov,M5,83
