,Student,Milestone,Attempts
0,xen,M0,3
1,xen,M1,7
2,xen,M2,1
3,xen,M3,7
4,xen,M4,2
5,xen,M5,1
6,xen,M6,7
7,xen,M7,2
8,xen,M8,7
9,xen,M9,4
10,xen,M10,0
11,xen,M11,1
12,xen,M12,0
13,xen,M13,7
14,xen,M14,1
15,xen,M15,0
16,xen,M16,0
17,dea,M0,5
18,dea,M1,8
19,dea,M2,1
20,dea,M3,8
21,dea,M4,2
22,dea,M5,1
23,dea,M6,8
24,dea,M7,2
25,dea,M8,22
26,dea,M9,5
27,dea,M10,0
28,dea,M11,1
29,dea,M12,0
30,dea,M13,8
31,dea,M14,1
32,dea,M15,0
33,dea,M16,1
34,ada,M0,1
35,ada,M1,1
36,ada,M2,1
37,ada,M3,2
38,ada,M4,1
39,ada,M5,1
40,ada,M6,2
41,ada,M7,1
42,ada,M8,16
43,ada,M9,1
44,ada,M10,0
45,ada,M11,1
46,ada,M12,0
47,ada,M13,2
48,ada,M14,5
49,ada,M15,1
50,ada,M16,4
51,mit,M0,2
52,mit,M1,5
53,mit,M2,1
54,mit,M3,6
55,mit,M4,6
56,mit,M5,1
57,mit,M6,6
58,mit,M7,6
59,mit,M8,8
60,mit,M9,20
61,mit,M10,1
62,mit,M11,1
63,mit,M12,1
64,mit,M13,6
65,mit,M14,4
66,mit,M15,1
67,mit,M16,4
68,has,M0,2
69,has,M1,2
70,has,M2,1
71,has,M3,3
72,has,M4,1
73,has,M5,1
74,has,M6,3
75,has,M7,0
76,has,M8,9
77,has,M9,1
78,has,M10,0
79,has,M11,1
80,has,M12,0
81,has,M13,2
82,has,M14,1
83,has,M15,0
84,has,M16,0
85,mor,M0,4
86,mor,M1,4
87,mor,M2,1
88,mor,M3,5
89,mor,M4,2
90,mor,M5,1
91,mor,M6,5
92,mor,M7,2
93,mor,M8,19
94,mor,M9,5
95,mor,M10,1
96,mor,M11,1
97,mor,M12,1
98,mor,M13,5
99,mor,M14,8
100,mor,M15,1
101,mor,M16,12
102,pat,M0,3
103,pat,M1,4
104,pat,M2,1
105,pat,M3,4
106,pat,M4,1
107,pat,M5,1
108,pat,M6,4
109,pat,M7,0
110,pat,M8,15
111,pat,M9,1
112,pat,M10,1
113,pat,M11,1
114,pat,M12,1
115,pat,M13,4
116,pat,M14,1
117,pat,M15,1
118,pat,M16,1
119,tai,M0,1
120,tai,M1,13
121,tai,M2,1
122,tai,M3,16
123,tai,M4,8
124,tai,M5,1
125,tai,M6,16
126,tai,M7,8
127,tai,M8,26
128,tai,M9,19
129,tai,M10,4
130,tai,M11,1
131,tai,M12,1
132,tai,M13,13
133,tai,M14,3
134,tai,M15,1
135,tai,M16,3
136,kov,M0,2
137,kov,M1,3
138,kov,M2,1
139,kov,M3,3
140,kov,M4,11
141,kov,M5,1
142,kov,M6,3
143,kov,M7,11
144,kov,M8,12
145,kov,M9,41
146,kov,M10,1
147,kov,M11,1
148,kov,M12,1
149,kov,M13,3
150,kov,M14,1
151,kov,M15,1
152,kov,M16,1
153,ala,M0,3
154,ala,M1,3
155,ala,M2,1
156,ala,M3,4
157,ala,M4,2
158,ala,M5,1
159,ala,M6,4
160,ala,M7,2
161,ala,M8,26
162,ala,M9,2
163,ala,M10,1
164,ala,M11,0
165,ala,M12,1
166,ala,M13,3
167,ala,M14,0
168,ala,M15,0
169,ala,M16,0
170,cas,M0,3
171,cas,M1,3
172,cas,M2,1
173,cas,M3,3
174,cas,M4,1
175,cas,M5,1
176,cas,M6,3
177,cas,M7,0
178,cas,M8,20
179,cas,M9,1
180,cas,M10,1
181,cas,M11,1
182,cas,M12,1
183,cas,M13,3
184,cas,M14,1
185,cas,M15,1
186,cas,M16,1
187,ged,M0,1
188,ged,M1,3
189,ged,M2,1
190,ged,M3,3
191,ged,M4,1
192,ged,M5,1
193,ged,M6,3
194,ged,M7,2
195,ged,M8,18
196,ged,M9,5
197,ged,M10,1
198,ged,M11,0
199,ged,M12,0
200,ged,M13,3
201,ged,M14,1
202,ged,M15,0
203,ged,M16,0
204,sel,M0,6
205,sel,M1,6
206,sel,M2,1
207,sel,M3,5
208,sel,M4,1
209,sel,M5,1
210,sel,M6,5
211,sel,M7,1
212,sel,M8,10
213,sel,M9,1
214,sel,M10,2
215,sel,M11,2
216,sel,M12,2
217,sel,M13,5
218,sel,M14,3
219,sel,M15,3
220,sel,M16,1
221,tay,M0,3
222,tay,M1,3
223,tay,M2,1
224,tay,M3,3
225,tay,M4,1
226,tay,M5,1
227,tay,M6,3
228,tay,M7,1
229,tay,M8,8
230,tay,M9,0
231,tay,M10,1
232,tay,M11,1
233,tay,M12,4
234,tay,M13,3
235,tay,M14,7
236,tay,M15,0
237,tay,M16,7
238,bau,M0,3
239,bau,M1,2
240,bau,M2,1
241,bau,M3,2
242,bau,M4,1
243,bau,M5,1
244,bau,M6,2
245,bau,M7,0
246,bau,M8,12
247,bau,M9,1
248,bau,M10,0
249,bau,M11,1
250,bau,M12,0
251,bau,M13,3
252,bau,M14,1
253,bau,M15,0
254,bau,M16,0
255,one,M0,90
256,one,M1,14
257,one,M2,1
258,one,M3,16
259,one,M4,7
260,one,M5,1
261,one,M6,16
262,one,M7,6
263,one,M8,26
264,one,M9,16
265,one,M10,2
266,one,M11,1
267,one,M12,1
268,one,M13,14
269,one,M14,3
270,one,M15,1
271,one,M16,1
272,jno,M0,69
273,jno,M1,6
274,jno,M2,1
275,jno,M3,8
276,jno,M4,5
277,jno,M5,3
278,jno,M6,8
279,jno,M7,4
280,jno,M8,23
281,jno,M9,8
282,jno,M10,1
283,jno,M11,1
284,jno,M12,1
285,jno,M13,6
286,jno,M14,1
287,jno,M15,0
288,jno,M16,1
289,dra,M0,1
290,dra,M1,3
291,dra,M2,1
292,dra,M3,3
293,dra,M4,0
294,dra,M5,1
295,dra,M6,3
296,dra,M7,1
297,dra,M8,11
298,dra,M9,1
299,dra,M10,2
300,dra,M11,1
301,dra,M12,1
302,dra,M13,5
303,dra,M14,5
304,dra,M15,1
305,dra,M16,6
306,dag,M0,3
307,dag,M1,2
308,dag,M2,1
309,dag,M3,2
310,dag,M4,1
311,dag,M5,1
312,dag,M6,2
313,dag,M7,0
314,dag,M8,5
315,dag,M9,1
316,dag,M10,0
317,dag,M11,1
318,dag,M12,1
319,dag,M13,3
320,dag,M14,1
321,dag,M15,1
322,dag,M16,1
323,fin,M0,5
324,fin,M1,1
325,fin,M2,1
326,fin,M3,1
327,fin,M4,4
328,fin,M5,0
329,fin,M6,1
330,fin,M7,4
331,fin,M8,22
332,fin,M9,13
