,Student,Milestone,Time
0,ada,M0,0
1,ada,M1,0
2,ada,M2,80
3,ada,M3,112
4,ada,M4,59
5,ada,M5,47
6,ada,M6,0
7,ada,M7,218
8,ada,M8,66
9,ada,M9,0
10,ada,M10,0
11,ada,M11,176
12,ada,M12,0
13,ada,M13,438
14,ada,M14,0
15,ada,M15,0
16,ada,M16,0
17,mor,M0,0
18,mor,M1,0
19,mor,M2,37
20,mor,M3,74
21,mor,M4,40
22,mor,M5,106
23,mor,M6,0
24,mor,M7,48
25,mor,M8,158
26,mor,M9,214
27,mor,M10,19
28,mor,M11,128
29,mor,M12,56
30,mor,M13,367
31,mor,M14,0
32,mor,M15,578
33,mor,M16,0
34,dag,M0,0
35,dag,M1,0
36,dag,M2,87
37,dag,M3,0
38,dag,M4,20
39,dag,M5,695
40,dag,M6,0
41,dag,M7,0
42,dag,M8,688
43,dag,M9,0
44,dag,M10,0
45,dag,M11,102
46,dag,M12,12
47,dag,M13,372
48,dag,M14,0
49,dag,M15,43
50,dag,M16,10
51,com,M0,0
52,com,M1,0
53,com,M2,0
54,com,M3,0
55,com,M4,0
56,com,M5,6
57,com,M6,0
58,com,M7,380
59,com,M8,0
60,com,M9,0
61,com,M10,0
62,com,M11,0
63,com,M12,0
64,com,M13,0
65,com,M14,0
66,com,M15,0
67,com,M16,0
68,pat,M0,0
69,pat,M1,442
70,pat,M2,123
71,pat,M3,389
72,pat,M4,1246
73,pat,M5,112
74,pat,M6,0
75,pat,M7,0
76,pat,M8,0
77,pat,M9,258
78,pat,M10,85
79,pat,M11,345
80,pat,M12,23
81,pat,M13,1392
82,pat,M14,0
83,pat,M15,60
84,pat,M16,13
85,art,M0,0
86,art,M1,395
87,art,M2,324
88,art,M3,0
89,art,M4,309
90,art,M5,1039
91,art,M6,0
92,art,M7,171
93,art,M8,0
94,art,M9,0
95,art,M10,117
96,art,M11,143
97,art,M12,83
98,art,M13,410
99,art,M14,0
100,art,M15,376
101,art,M16,7
102,jno,M0,0
103,jno,M1,653
104,jno,M2,650
105,jno,M3,750
106,jno,M4,7522
107,jno,M5,1355
108,jno,M6,0
109,jno,M7,313
110,jno,M8,516
111,jno,M9,613
112,jno,M10,145
113,jno,M11,399
114,jno,M12,0
115,jno,M13,1741
116,jno,M14,0
117,jno,M15,0
118,jno,M16,0
119,dra,M0,0
120,dra,M1,0
121,dra,M2,124
122,dra,M3,0
123,dra,M4,0
124,dra,M5,39
125,dra,M6,0
126,dra,M7,115
127,dra,M8,0
128,dra,M9,535
129,dra,M10,56
130,dra,M11,113
131,dra,M12,21
132,dra,M13,207
133,dra,M14,0
134,dra,M15,115
135,dra,M16,3
136,one,M0,0
137,one,M1,837
138,one,M2,369
139,one,M3,1167
140,one,M4,371
141,one,M5,540
142,one,M6,0
143,one,M7,342
144,one,M8,124
145,one,M9,389
146,one,M10,36
147,one,M11,1468
148,one,M12,630
149,one,M13,83
150,one,M14,0
151,one,M15,0
152,one,M16,0
153,dea,M0,0
154,dea,M1,205
155,dea,M2,2
156,dea,M3,189
157,dea,M4,15
158,dea,M5,552
159,dea,M6,0
160,dea,M7,86
161,dea,M8,203
162,dea,M9,575
163,dea,M10,0
164,dea,M11,0
165,dea,M12,0
166,dea,M13,627
167,dea,M14,0
168,dea,M15,0
169,dea,M16,47
170,ala,M0,0
171,ala,M1,141
172,ala,M2,190
173,ala,M3,370
174,ala,M4,129
175,ala,M5,325
176,ala,M6,0
177,ala,M7,1319
178,ala,M8,0
179,ala,M9,0
180,ala,M10,0
181,ala,M11,0
182,ala,M12,14
183,ala,M13,230
184,ala,M14,0
185,ala,M15,0
186,ala,M16,0
187,fin,M0,0
188,fin,M1,0
189,fin,M2,50
190,fin,M3,0
191,fin,M4,226
192,fin,M5,0
193,fin,M6,0
194,fin,M7,30
195,fin,M8,175
196,fin,M9,871
197,fin,M10,0
198,fin,M11,457
199,fin,M12,0
200,fin,M13,0
201,fin,M14,0
202,fin,M15,0
203,fin,M16,131
204,sel,M0,0
