,Student,Milestone,Attempts
0,ada,M0,1
1,ada,M1,1
2,ada,M2,1
3,ada,M3,2
4,ada,M4,1
5,ada,M5,1
6,ada,M6,2
7,ada,M7,1
8,ada,M8,16
9,ada,M9,1
10,ada,M10,0
11,ada,M11,1
12,ada,M12,0
13,ada,M13,2
14,ada,M14,5
15,ada,M15,1
16,ada,M16,4
17,mor,M0,4
18,mor,M1,4
19,mor,M2,1
20,mor,M3,5
21,mor,M4,2
22,mor,M5,1
23,mor,M6,5
24,mor,M7,2
25,mor,M8,19
26,mor,M9,5
27,mor,M10,1
28,mor,M11,1
29,mor,M12,1
30,mor,M13,5
31,mor,M14,8
32,mor,M15,1
33,mor,M16,12
34,dag,M0,3
35,dag,M1,2
36,dag,M2,1
37,dag,M3,2
38,dag,M4,1
39,dag,M5,1
40,dag,M6,2
41,dag,M7,0
42,dag,M8,5
43,dag,M9,1
44,dag,M10,0
45,dag,M11,1
46,dag,M12,1
47,dag,M13,3
48,dag,M14,1
49,dag,M15,1
50,dag,M16,1
51,com,M0,4
52,com,M1,1
53,com,M2,1
54,com,M3,1
55,com,M4,0
56,com,M5,7
57,com,M6,1
58,com,M7,1
59,com,M8,3
60,com,M9,0
61,com,M10,0
62,com,M11,0
63,com,M12,0
64,com,M13,1
65,com,M14,0
66,com,M15,0
67,com,M16,0
68,pat,M0,3
69,pat,M1,4
70,pat,M2,1
71,pat,M3,4
72,pat,M4,1
73,pat,M5,1
74,pat,M6,4
75,pat,M7,0
76,pat,M8,15
77,pat,M9,1
78,pat,M10,1
79,pat,M11,1
80,pat,M12,1
81,pat,M13,4
82,pat,M14,1
83,pat,M15,1
84,pat,M16,1
85,art,M0,2
86,art,M1,6
87,art,M2,1
88,art,M3,5
89,art,M4,1
90,art,M5,1
91,art,M6,5
92,art,M7,1
93,art,M8,9
94,art,M9,0
95,art,M10,3
96,art,M11,3
97,art,M12,2
98,art,M13,6
99,art,M14,5
100,art,M15,2
101,art,M16,5
102,jno,M0,69
103,jno,M1,6
104,jno,M2,1
105,jno,M3,8
106,jno,M4,5
107,jno,M5,3
108,jno,M6,8
109,jno,M7,4
110,jno,M8,23
111,jno,M9,8
112,jno,M10,1
113,jno,M11,1
114,jno,M12,1
115,jno,M13,6
116,jno,M14,1
117,jno,M15,0
118,jno,M16,1
119,dra,M0,1
120,dra,M1,3
121,dra,M2,1
122,dra,M3,3
123,dra,M4,0
124,dra,M5,1
125,dra,M6,3
126,dra,M7,1
127,dra,M8,11
128,dra,M9,1
129,dra,M10,2
130,dra,M11,1
131,dra,M12,1
132,dra,M13,5
133,dra,M14,5
134,dra,M15,1
135,dra,M16,6
136,one,M0,90
137,one,M1,14
138,one,M2,1
139,one,M3,16
140,one,M4,7
141,one,M5,1
142,one,M6,16
143,one,M7,6
144,one,M8,26
145,one,M9,16
146,one,M10,2
147,one,M11,1
148,one,M12,1
149,one,M13,14
150,one,M14,3
151,one,M15,1
152,one,M16,1
153,dea,M0,5
154,dea,M1,8
155,dea,M2,1
156,dea,M3,8
157,dea,M4,2
158,dea,M5,1
159,dea,M6,8
160,dea,M7,2
161,dea,M8,22
162,dea,M9,5
163,dea,M10,0
164,dea,M11,1
165,dea,M12,0
166,dea,M13,8
167,dea,M14,1
168,dea,M15,0
169,dea,M16,1
170,ala,M0,3
171,ala,M1,3
172,ala,M2,1
