,Student,Milestone,Attempts
0,ixj,M0,13
1,ixj,M1,4
2,ixj,M2,3
3,ixj,M3,2
4,ixj,M4,3
5,ixj,M5,6
6,ixj,M6,10
7,ixj,M7,0
8,ixj,M8,6
9,ixj,M9,4
10,ixj,M10,0
11,ixj,M11,2
12,ixj,M12,0
13,ixj,M13,3
14,ixj,M14,0
15,ixj,M15,0
16,ixj,M16,3
17,ixj,M17,2
18,akk,M0,7
19,akk,M1,1
20,akk,M2,0
21,akk,M3,0
22,akk,M4,0
23,akk,M5,0
24,akk,M6,0
25,akk,M7,0
26,akk,M8,0
27,akk,M9,0
28,akk,M10,0
29,akk,M11,0
30,akk,M12,0
31,akk,M13,0
32,akk,M14,0
33,akk,M15,0
34,akk,M16,0
35,akk,M17,0
36,kvc,M0,1
37,kvc,M1,0
38,kvc,M2,8
39,kvc,M3,0
40,kvc,M4,4
41,kvc,M5,4
42,kvc,M6,10
43,kvc,M7,0
44,kvc,M8,7
45,kvc,M9,0
46,kvc,M10,0
47,kvc,M11,0
48,kvc,M12,0
49,kvc,M13,0
50,kvc,M14,0
51,kvc,M15,0
52,kvc,M16,0
53,kvc,M17,2
54,bvw,M0,1
55,bvw,M1,2
56,bvw,M2,0
57,bvw,M3,0
58,bvw,M4,0
59,bvw,M5,0
60,bvw,M6,0
61,bvw,M7,0
62,bvw,M8,0
63,bvw,M9,0
64,bvw,M10,0
65,bvw,M11,0
66,bvw,M12,0
67,bvw,M13,0
68,bvw,M14,0
69,bvw,M15,0
70,bvw,M16,0
71,bvw,M17,0
72,prl,M0,2
73,prl,M1,0
74,prl,M2,3
75,prl,M3,0
76,prl,M4,4
77,prl,M5,5
78,prl,M6,9
79,prl,M7,0
80,prl,M8,7
81,prl,M9,0
82,prl,M10,0
83,prl,M11,6
84,prl,M12,0
85,prl,M13,0
86,prl,M14,0
87,prl,M15,0
88,prl,M16,0
89,prl,M17,3
90,ise,M0,2
91,ise,M1,1
92,ise,M2,0
93,ise,M3,0
94,ise,M4,0
95,ise,M5,0
96,ise,M6,0
97,ise,M7,0
98,ise,M8,0
99,ise,M9,0
100,ise,M10,0
101,ise,M11,0
102,ise,M12,0
103,ise,M13,0
104,ise,M14,0
105,ise,M15,0
106,ise,M16,0
107,ise,M17,0
108,mle,M0,5
109,mle,M1,0
110,mle,M2,4
111,mle,M3,3
112,mle,M4,3
113,mle,M5,5
114,mle,M6,13
115,mle,M7,0
116,mle,M8,5
117,mle,M9,0
118,mle,M10,0
119,mle,M11,0
120,mle,M12,3
121,mle,M13,3
122,mle,M14,0
123,mle,M15,2
124,mle,M16,0
125,mle,M17,2
126,qjz,M0,2
127,qjz,M1,0
128,qjz,M2,2
129,qjz,M3,2
130,qjz,M4,1
131,qjz,M5,3
132,qjz,M6,3
133,qjz,M7,0
134,qjz,M8,4
135,qjz,M9,0
136,qjz,M10,2
137,qjz,M11,0
138,qjz,M12,0
139,qjz,M13,2
140,qjz,M14,0
141,qjz,M15,0
142,qjz,M16,5
143,qjz,M17,2
144,hdo,M0,4
145,hdo,M1,0
146,hdo,M2,2
147,hdo,M3,2
148,hdo,M4,1
149,hdo,M5,4
150,hdo,M6,7
151,hdo,M7,0
152,hdo,M8,4
153,hdo,M9,0
154,hdo,M10,0
155,hdo,M11,0
156,hdo,M12,0
157,hdo,M13,0
158,hdo,M14,0
159,hdo,M15,0
160,hdo,M16,0
161,hdo,M17,0
162,akn,M0,2
163,akn,M1,0
164,akn,M2,2
165,akn,M3,0
166,akn,M4,0
167,akn,M5,0
168,akn,M6,53
169,akn,M7,0
170,akn,M8,9
171,akn,M9,0
172,akn,M10,0
173,akn,M11,0
174,akn,M12,0
175,akn,M13,4
176,akn,M14,2
177,akn,M15,0
178,akn,M16,0
179,akn,M17,0
180,mkw,M0,12
181,mkw,M1,0
182,mkw,M2,6
183,mkw,M3,5
184,mkw,M4,0
185,mkw,M5,13
186,mkw,M6,11
187,mkw,M7,0
188,mkw,M8,9
189,mkw,M9,0
190,mkw,M10,3
191,mkw,M11,0
192,mkw,M12,0
193,mkw,M13,0
194,mkw,M14,0
195,mkw,M15,0
196,mkw,M16,0
197,mkw,M17,0
198,yaj,M0,0
199,yaj,M1,0
200,yaj,M2,5
201,yaj,M3,0
202,yaj,M4,1
203,yaj,M5,4
204,yaj,M6,21
205,yaj,M7,0
206,yaj,M8,4
207,yaj,M9,0
208,yaj,M10,0
209,yaj,M11,0
210,yaj,M12,0
211,yaj,M13,0
212,yaj,M14,0
213,yaj,M15,0
214,yaj,M16,0
215,yaj,M17,0
216,bsm,M0,10
217,bsm,M1,0
218,bsm,M2,2
219,bsm,M3,2
220,bsm,M4,3
221,bsm,M5,8
222,bsm,M6,10
223,bsm,M7,0
224,bsm,M8,5
225,bsm,M9,0
226,bsm,M10,0
227,bsm,M11,0
228,bsm,M12,0
229,bsm,M13,3
230,bsm,M14,0
231,bsm,M15,0
232,bsm,M16,0
233,bsm,M17,2
234,jyo,M0,4
235,jyo,M1,0
236,jyo,M2,2
237,jyo,M3,3
238,jyo,M4,0
239,jyo,M5,5
240,jyo,M6,4
241,jyo,M7,0
242,jyo,M8,5
243,jyo,M9,0
244,jyo,M10,0
245,jyo,M11,0
246,jyo,M12,0
247,jyo,M13,0
248,jyo,M14,0
249,jyo,M15,0
250,jyo,M16,0
251,jyo,M17,2
252,dwv,M0,5
253,dwv,M1,0
254,dwv,M2,2
255,dwv,M3,2
256,dwv,M4,2
257,dwv,M5,0
258,dwv,M6,4
259,dwv,M7,0
260,dwv,M8,3
261,dwv,M9,0
262,dwv,M10,0
263,dwv,M11,0
264,dwv,M12,0
265,dwv,M13,0
266,dwv,M14,0
267,dwv,M15,0
268,dwv,M16,4
269,dwv,M17,2
270,stg,M0,10
271,stg,M1,0
272,stg,M2,4
273,stg,M3,0
274,stg,M4,3
275,stg,M5,3
276,stg,M6,5
277,stg,M7,0
278,stg,M8,5
279,stg,M9,0
280,stg,M10,0
281,stg,M11,0
282,stg,M12,0
283,stg,M13,0
284,stg,M14,2
285,stg,M15,0
286,stg,M16,6
287,stg,M17,2
288,hrp,M0,7
289,hrp,M1,3
290,hrp,M2,0
291,hrp,M3,0
292,hrp,M4,0
293,hrp,M5,0
294,hrp,M6,0
295,hrp,M7,0
296,hrp,M8,0
297,hrp,M9,0
298,hrp,M10,0
299,hrp,M11,0
300,hrp,M12,0
301,hrp,M13,0
302,hrp,M14,0
303,hrp,M15,0
304,hrp,M16,0
305,hrp,M17,0
306,nvx,M0,3
307,nvx,M1,0
308,nvx,M2,2
309,nvx,M3,4
310,nvx,M4,0
311,nvx,M5,3
312,nvx,M6,12
313,nvx,M7,0
314,nvx,M8,7
315,nvx,M9,0
316,nvx,M10,0
317,nvx,M11,0
318,nvx,M12,0
319,nvx,M13,0
320,nvx,M14,0
321,nvx,M15,0
322,nvx,M16,0
323,nvx,M17,2
324,cbi,M0,1
325,cbi,M1,0
326,cbi,M2,2
327,cbi,M3,3
328,cbi,M4,2
329,cbi,M5,5
330,cbi,M6,7
331,cbi,M7,0
332,cbi,M8,6
333,cbi,M9,0
334,cbi,M10,2
335,cbi,M11,0
336,cbi,M12,0
337,cbi,M13,9
338,cbi,M14,25
339,cbi,M15,0
340,cbi,M16,0
341,cbi,M17,2
342,skf,M0,1
343,skf,M1,0
344,skf,M2,4
345,skf,M3,0
346,skf,M4,5
347,skf,M5,13
348,skf,M6,25
349,skf,M7,0
350,skf,M8,21
351,skf,M9,0
352,skf,M10,0
353,skf,M11,0
354,skf,M12,0
355,skf,M13,0
356,skf,M14,0
357,skf,M15,0
358,skf,M16,6
359,skf,M17,2
