,Student,Milestone,Attempts
0,wpj,M0,13
1,wpj,M1,4
2,wpj,M2,3
3,wpj,M3,2
4,wpj,M4,3
5,wpj,M5,6
6,wpj,M6,10
7,wpj,M7,0
8,wpj,M8,6
9,wpj,M9,4
10,wpj,M10,0
11,wpj,M11,2
12,wpj,M12,0
13,wpj,M13,3
14,wpj,M14,0
15,wpj,M15,0
16,wpj,M16,3
17,wpj,M17,2
18,ldq,M0,7
19,ldq,M1,1
20,ldq,M2,0
21,ldq,M3,0
22,ldq,M4,0
23,ldq,M5,0
24,ldq,M6,0
25,ldq,M7,0
26,ldq,M8,0
27,ldq,M9,0
28,ldq,M10,0
29,ldq,M11,0
30,ldq,M12,0
31,ldq,M13,0
32,ldq,M14,0
33,ldq,M15,0
34,ldq,M16,0
35,ldq,M17,0
36,wiq,M0,1
37,wiq,M1,0
38,wiq,M2,8
39,wiq,M3,0
40,wiq,M4,4
41,wiq,M5,4
42,wiq,M6,10
43,wiq,M7,0
44,wiq,M8,7
45,wiq,M9,0
46,wiq,M10,0
47,wiq,M11,0
48,wiq,M12,0
49,wiq,M13,0
50,wiq,M14,0
51,wiq,M15,0
52,wiq,M16,0
53,wiq,M17,2
54,yvh,M0,1
55,yvh,M1,2
56,yvh,M2,0
57,yvh,M3,0
58,yvh,M4,0
59,yvh,M5,0
60,yvh,M6,0
61,yvh,M7,0
62,yvh,M8,0
63,yvh,M9,0
64,yvh,M10,0
65,yvh,M11,0
66,yvh,M12,0
67,yvh,M13,0
68,yvh,M14,0
69,yvh,M15,0
70,yvh,M16,0
71,yvh,M17,0
72,wau,M0,2
73,wau,M1,0
74,wau,M2,3
75,wau,M3,0
76,wau,M4,4
77,wau,M5,5
78,wau,M6,9
79,wau,M7,0
80,wau,M8,7
81,wau,M9,0
82,wau,M10,0
83,wau,M11,6
84,wau,M12,0
85,wau,M13,0
86,wau,M14,0
87,wau,M15,0
88,wau,M16,0
89,wau,M17,3
90,awn,M0,2
91,awn,M1,1
92,awn,M2,0
93,awn,M3,0
94,awn,M4,0
95,awn,M5,0
96,awn,M6,0
97,awn,M7,0
98,awn,M8,0
99,awn,M9,0
100,awn,M10,0
101,awn,M11,0
102,awn,M12,0
103,awn,M13,0
104,awn,M14,0
105,awn,M15,0
106,awn,M16,0
107,awn,M17,0
108,avc,M0,5
109,avc,M1,0
110,avc,M2,4
111,avc,M3,3
112,avc,M4,3
113,avc,M5,5
114,avc,M6,13
115,avc,M7,0
116,avc,M8,5
117,avc,M9,0
118,avc,M10,0
119,avc,M11,0
120,avc,M12,3
121,avc,M13,3
122,avc,M14,0
123,avc,M15,2
124,avc,M16,0
125,avc,M17,2
126,fab,M0,2
127,fab,M1,0
128,fab,M2,2
129,fab,M3,2
130,fab,M4,1
131,fab,M5,3
132,fab,M6,3
133,fab,M7,0
134,fab,M8,4
135,fab,M9,0
136,fab,M10,2
137,fab,M11,0
138,fab,M12,0
139,fab,M13,2
140,fab,M14,0
141,fab,M15,0
142,fab,M16,5
143,fab,M17,2
144,qnw,M0,4
145,qnw,M1,0
146,qnw,M2,2
147,qnw,M3,2
148,qnw,M4,1
149,qnw,M5,4
150,qnw,M6,7
151,qnw,M7,0
152,qnw,M8,4
153,qnw,M9,0
154,qnw,M10,0
155,qnw,M11,0
156,qnw,M12,0
157,qnw,M13,0
158,qnw,M14,0
159,qnw,M15,0
160,qnw,M16,0
161,qnw,M17,0
162,oqj,M0,2
163,oqj,M1,0
164,oqj,M2,2
165,oqj,M3,0
166,oqj,M4,0
167,oqj,M5,0
168,oqj,M6,53
169,oqj,M7,0
170,oqj,M8,9
171,oqj,M9,0
172,oqj,M10,0
173,oqj,M11,0
174,oqj,M12,0
175,oqj,M13,4
176,oqj,M14,2
177,oqj,M15,0
178,oqj,M16,0
179,oqj,M17,0
180,urx,M0,12
181,urx,M1,0
182,urx,M2,6
183,urx,M3,5
184,urx,M4,0
185,urx,M5,13
186,urx,M6,11
187,urx,M7,0
188,urx,M8,9
189,urx,M9,0
190,urx,M10,3
191,urx,M11,0
192,urx,M12,0
193,urx,M13,0
194,urx,M14,0
195,urx,M15,0
196,urx,M16,0
197,urx,M17,0
198,gmd,M0,0
199,gmd,M1,0
200,gmd,M2,5
201,gmd,M3,0
202,gmd,M4,1
203,gmd,M5,4
204,gmd,M6,21
205,gmd,M7,0
206,gmd,M8,4
207,gmd,M9,0
208,gmd,M10,0
209,gmd,M11,0
210,gmd,M12,0
211,gmd,M13,0
212,gmd,M14,0
213,gmd,M15,0
214,gmd,M16,0
215,gmd,M17,0
216,qoy,M0,10
217,qoy,M1,0
218,qoy,M2,2
219,qoy,M3,2
220,qoy,M4,3
221,qoy,M5,8
222,qoy,M6,10
223,qoy,M7,0
224,qoy,M8,5
225,qoy,M9,0
226,qoy,M10,0
227,qoy,M11,0
