,Student,Milestone,Time
0,irk,M0,0
1,irk,M1,511
2,irk,M2,539
3,irk,M3,37
4,irk,M4,4
5,irk,M5,41
6,irk,M6,67
7,irk,M7,0
8,irk,M8,1445
9,irk,M9,2476
10,irk,M10,0
11,irk,M11,1114
12,irk,M12,0
13,irk,M13,822
14,irk,M14,0
15,irk,M15,0
16,irk,M16,294
17,irk,M17,0
18,jop,M0,0
19,jop,M1,0
20,jop,M2,0
21,jop,M3,0
22,jop,M4,0
23,jop,M5,0
24,jop,M6,0
25,jop,M7,0
26,jop,M8,0
27,jop,M9,0
28,jop,M10,0
29,jop,M11,0
30,jop,M12,0
31,jop,M13,0
32,jop,M14,0
33,jop,M15,0
34,jop,M16,0
35,jop,M17,0
36,iws,M0,0
37,iws,M1,0
38,iws,M2,340
39,iws,M3,0
40,iws,M4,2324
41,iws,M5,28
42,iws,M6,36
43,iws,M7,0
44,iws,M8,296
45,iws,M9,0
46,iws,M10,0
47,iws,M11,0
48,iws,M12,0
49,iws,M13,0
50,iws,M14,0
51,iws,M15,0
52,iws,M16,0
53,iws,M17,0
54,cpe,M0,0
55,cpe,M1,6182
56,cpe,M2,0
57,cpe,M3,0
58,cpe,M4,0
59,cpe,M5,0
60,cpe,M6,0
61,cpe,M7,0
62,cpe,M8,0
63,cpe,M9,0
64,cpe,M10,0
65,cpe,M11,0
66,cpe,M12,0
67,cpe,M13,0
68,cpe,M14,0
69,cpe,M15,0
70,cpe,M16,0
71,cpe,M17,0
72,dzg,M0,0
73,dzg,M1,0
74,dzg,M2,1150
75,dzg,M3,0
76,dzg,M4,40
77,dzg,M5,42
78,dzg,M6,46
79,dzg,M7,0
80,dzg,M8,1465
81,dzg,M9,0
82,dzg,M10,0
83,dzg,M11,951
84,dzg,M12,0
85,dzg,M13,0
86,dzg,M14,0
87,dzg,M15,0
88,dzg,M16,0
89,dzg,M17,9873
90,qvj,M0,0
91,qvj,M1,0
92,qvj,M2,0
93,qvj,M3,0
94,qvj,M4,0
95,qvj,M5,0
96,qvj,M6,0
97,qvj,M7,0
98,qvj,M8,0
99,qvj,M9,0
100,qvj,M10,0
101,qvj,M11,0
102,qvj,M12,0
103,qvj,M13,0
104,qvj,M14,0
105,qvj,M15,0
106,qvj,M16,0
107,qvj,M17,0
108,ube,M0,0
109,ube,M1,0
110,ube,M2,1436
111,ube,M3,16
112,ube,M4,23
113,ube,M5,62
114,ube,M6,8
115,ube,M7,0
116,ube,M8,691
117,ube,M9,0
118,ube,M10,0
119,ube,M11,0
120,ube,M12,111
121,ube,M13,1051
122,ube,M14,0
123,ube,M15,799
124,ube,M16,0
125,ube,M17,382
126,oxi,M0,0
127,oxi,M1,0
128,oxi,M2,182
129,oxi,M3,134
130,oxi,M4,0
131,oxi,M5,27
132,oxi,M6,10
133,oxi,M7,0
134,oxi,M8,2317
135,oxi,M9,0
136,oxi,M10,43
137,oxi,M11,0
138,oxi,M12,0
139,oxi,M13,194
140,oxi,M14,0
141,oxi,M15,0
142,oxi,M16,149
143,oxi,M17,0
144,oij,M0,0
145,oij,M1,0
146,oij,M2,494
147,oij,M3,47
148,oij,M4,0
149,oij,M5,30
150,oij,M6,77
151,oij,M7,0
152,oij,M8,116
153,oij,M9,0
154,oij,M10,0
155,oij,M11,0
156,oij,M12,0
157,oij,M13,0
158,oij,M14,0
159,oij,M15,0
160,oij,M16,0
161,oij,M17,0
162,siq,M0,0
163,siq,M1,0
164,siq,M2,5459
165,siq,M3,0
166,siq,M4,0
167,siq,M5,0
168,siq,M6,1438
169,siq,M7,0
170,siq,M8,140
171,siq,M9,0
172,siq,M10,0
173,siq,M11,0
174,siq,M12,0
175,siq,M13,769
176,siq,M14,174
177,siq,M15,0
178,siq,M16,0
179,siq,M17,0
180,wra,M0,0
181,wra,M1,0
182,wra,M2,559
183,wra,M3,1304
184,wra,M4,0
185,wra,M5,95
186,wra,M6,295
187,wra,M7,0
188,wra,M8,8093
189,wra,M9,0
190,wra,M10,94
191,wra,M11,0
192,wra,M12,0
193,wra,M13,0
