INPUT|null|A0 M0 T0|null|null|MS: Find Home Dir \l Accepted Commands: \l pwd \l Accepted Options: \l N/A \l|OUTPUT
INPUT|null|A1 M1 T1|null|null|MS: Read man pwd \l Accepted Commands: \l man \l Accepted Options: \l pwd \l|OUTPUT
INPUT|null|A2 M2 T2|null|null|MS: List Home Dir \l Accepted Commands: \l ls \l Accepted Options: \l N/A \l|OUTPUT
INPUT|null|A3 M3 T3|null|null|MS: Read man ls \l Accepted Commands: \l man \l Accepted Options: \l ls \l|OUTPUT
INPUT|null|A4 M4 T4|null|null|MS: ls long home \l Accepted Commands: \l ls \l Accepted Options: \l -l \l|OUTPUT
INPUT|null|A5 M5 T5|null|null|MS: Change Dir View \l Accepted Commands: \l cd \l Accepted Options: \l view \l|OUTPUT
INPUT|null|A6 M6 T6|null|null|MS: List long view \l Dir: \l /home/$USER/view \l Accepted Commands: \l ls \l Accepted Options: \l -a \l -la \l -al \l|OUTPUT
INPUT|null|A7 M7 T7|null|null|MS: Cd back home \l Accepted Commands: \l cd \l Accepted Options: \l .. \l|OUTPUT
INPUT|null|A8 M8 T8|null|null|MS: ls hidden home \l Dir: \l /home/$USER \l Accepted Commands: \l ls \l Accepted Options: \l -la \l -al \l|OUTPUT
INPUT|null|A9 M9 T9|null|null|MS: Move file1 \l Accepted Commands: \l mv \l Accepted Options: \l file1.txt \l renamed_file1.txt \l|OUTPUT
INPUT|null|A10 M10 T10|null|null|MS: Copy file2 \l Accepted Commands: \l cp \l Accepted Options: \l file2.txt \l copied_file2.txt \l|OUTPUT
INPUT|null|A11 M11 T11|null|null|MS: Copy perm1 \l Accepted Commands: \l cp \l Accepted Options: \l perm1.txt \l copied_perm1.txt \l|OUTPUT
INPUT|null|A12 M12 T12|null|null|MS: Read man chmod \l Accepted Commands: \l man \l Accepted Options: \l chmod \l|OUTPUT
INPUT|null|A13 M13 T13|null|null|MS: Chmod perm1 \l Accepted Commands: \l chmod \l Accepted Options: \l copied_perm1.txt 660 \l|OUTPUT
INPUT|null|A14 M14 T14|null|null|MS: Copy perm2 \l Accepted Commands: \l cp \l Accepted Options: \l perm2.txt \l copied_perm2.txt \l|OUTPUT
INPUT|null|A15 M15 T15|null|null|MS: Chmod perm2 \l Accepted Commands: \l chmod \l Accepted Options: \l copied_perm2.txt 764 \l|OUTPUT
INPUT|CS211user10--0|U|1606765843|CS211user10|cat instructions.txt |OUTPUT|/home/CS211user10
INPUT|CS211user10--1|U|1606765897|CS211user10|cat tast1|OUTPUT|/home/CS211user10
INPUT|CS211user10--2|U|1606765905|CS211user10|cat task1|OUTPUT|/home/CS211user10
INPUT|CS211user10--3|M0 |1606765981|CS211user10|pwd|OUTPUT|/home/CS211user10
INPUT|CS211user10--4|U|1606766015|CS211user10|cat task2|OUTPUT|/home/CS211user10
INPUT|CS211user10--5|A1|1606766093|CS211user10|man <pwd>|OUTPUT|/home/CS211user10
INPUT|CS211user10--6|M1 |1606766100|CS211user10|man pwd|OUTPUT|/home/CS211user10
INPUT|CS211user10--7|A3|1606766184|CS211user10|man pwd|OUTPUT|/home/CS211user10
INPUT|CS211user10--8|U|1606766242|CS211user10|cat tast2|OUTPUT|/home/CS211user10
INPUT|CS211user10--9|U|1606766246|CS211user10|cat task2|OUTPUT|/home/CS211user10
INPUT|CS211user10--10|U|1606766258|CS211user10|cat task3|OUTPUT|/home/CS211user10
INPUT|CS211user10--11|M2 |1606766281|CS211user10|ls|OUTPUT|/home/CS211user10
INPUT|CS211user10--12|M3 |1606766306|CS211user10|man ls|OUTPUT|/home/CS211user10
INPUT|CS211user10--13|M4 |1606766357|CS211user10|ls -l|OUTPUT|/home/CS211user10
INPUT|CS211user10--14|U|1606766372|CS211user10|cat task4|OUTPUT|/home/CS211user10
INPUT|CS211user10--15|A12|1606766403|CS211user10|man ls|OUTPUT|/home/CS211user10
INPUT|CS211user10--16|A8|1606766677|CS211user10|ls -l|OUTPUT|/home/CS211user10
INPUT|CS211user10--17|U|1606766739|CS211user10|cat task5|OUTPUT|/home/CS211user10
INPUT|CS211user10--18|M5 |1606766748|CS211user10|cd view|OUTPUT|/home/CS211user10
INPUT|CS211user10--19|A7|1606766751|CS211user10|cd view|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--20|A6|1606766760|CS211user10|ls|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--21|U|1606766766|CS211user10|/|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--22|A6|1606766768|CS211user10|ls|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--23|U|1606766796|CS211user10|cat task6|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--24|A12|1606766808|CS211user10|man ls|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--25|M6 |1606766928|CS211user10|ls -a|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--26|U|1606766978|CS211user10|cat task7|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--27|M7 |1606766987|CS211user10|cd ..|OUTPUT|/home/CS211user10/view
INPUT|CS211user10--28|V0|1606766990|CS211user10|pwd|OUTPUT|/home/CS211user10
INPUT|CS211user10--29|U|1606767020|CS211user10|cat task8|OUTPUT|/home/CS211user10
INPUT|CS211user10--30|A8|1606767040|CS211user10|ls -l -a|OUTPUT|/home/CS211user10
INPUT|CS211user10--31|U|1606767078|CS211user10|cat tasl9|OUTPUT|/home/CS211user10
INPUT|CS211user10--32|U|1606767084|CS211user10|cat task9|OUTPUT|/home/CS211user10
INPUT|CS211user10--33|U|1606767098|CS211user10|cd man|OUTPUT|/home/CS211user10
INPUT|CS211user10--34|U|1606767107|CS211user10|cd manipulate|OUTPUT|/home/CS211user10
INPUT|CS211user10--35|V2|1606767111|CS211user10|ls|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--36|A12|1606767125|CS211user10|man mv|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--37|A10|1606767268|CS211user10|file2.txt mv -f copied_file2.txt|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--38|M9 |1606767364|CS211user10|mv file1.txt renamed_file1.txt|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--39|A12|1606767376|CS211user10|man cp|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--40|M10 |1606767413|CS211user10|cp file2.txt copied_file2.txt|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--41|U|1606767420|CS211user10|sudo manflag|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--42|U|1606767441|CS211user10|cat task10|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--43|U|1606767448|CS211user10|cat task10|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--44|U|1606767451|CS211user10|cd|OUTPUT|/home/CS211user10/manipulate
INPUT|CS211user10--45|U|1606767455|CS211user10|cat task10|OUTPUT|/home/CS211user10
INPUT|CS211user10--46|U|1606767462|CS211user10|cd|OUTPUT|/home/CS211user10
INPUT|CS211user10--47|U|1606767468|CS211user10|cd permissions/|OUTPUT|/home/CS211user10
INPUT|CS211user10--48|U|1606767472|CS211user10|cat task10|OUTPUT|/home/CS211user10/permissions
INPUT|CS211user10--49|V2|1606767479|CS211user10|ls|OUTPUT|/home/CS211user10/permissions
INPUT|CS211user10--50|A11|1606767574|CS211user10| cp perm1.txt copied_perm1.txt          |OUTPUT|/home/CS211user10/permissions
INPUT|CS211user10--51|M12 |1606767621|CS211user10|man chmod|OUTPUT|/home/CS211user10/permissions
INPUT|CS211user10--52|M13 |1606767663|CS211user10|chmod copied_perm1.txt|OUTPUT|/home/CS211user10/permissions
INPUT|CS211user10--53|U|1606767690|CS211user10|sudo perflag|OUTPUT|/home/CS211user10/permissions
INPUT|R|A0 M0||null||OUTPUT
INPUT|R|A1 M1||null||OUTPUT
INPUT|R|A2 M2||null||OUTPUT
INPUT|R|A3 M3||null||OUTPUT
INPUT|R|A4 M4||null||OUTPUT
INPUT|R|A5 M5||null||OUTPUT
INPUT|R|A6 M6||null||OUTPUT
INPUT|R|A7 M7||null||OUTPUT
INPUT|R|A8 M8||null||OUTPUT
INPUT|R|A9 M9||null||OUTPUT
INPUT|R|A10 M10||null||OUTPUT
INPUT|R|A11 M11||null||OUTPUT
INPUT|R|A12 M12||null||OUTPUT
INPUT|R|A13 M13||null||OUTPUT
INPUT|R|A14 M14||null||OUTPUT
INPUT|R|A15 M15||null||OUTPUT
